iter	Passed	Remaining
0	1	140
1	3	162
2	4	156
3	5	140
4	6	132
5	7	123
6	9	122
7	10	116
8	11	113
9	12	116
10	14	114
11	15	110
12	16	107
13	17	105
14	18	104
15	19	101
16	20	99
17	21	98
18	22	96
19	23	94
20	24	92
21	25	90
22	26	88
23	27	86
24	28	84
25	29	84
26	30	83
27	31	82
28	32	80
29	33	78
30	34	77
31	35	76
32	37	76
33	38	74
34	40	74
35	41	73
36	42	72
37	43	71
38	45	71
39	46	69
40	47	68
41	49	67
42	49	66
43	51	64
44	52	63
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	91	24
79	92	23
80	93	21
81	94	20
82	96	19
83	97	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	104	10
91	106	9
92	107	8
93	108	6
94	109	5
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
