iter	Passed	Remaining
0	147	147680
1	149	74392
2	150	49943
3	151	37783
4	153	30504
5	154	25617
6	155	22121
7	157	19538
8	158	17479
9	159	15822
10	161	14492
11	162	13358
12	163	12399
13	164	11568
14	165	10867
15	166	10235
16	167	9686
17	168	9182
18	169	8735
19	170	8334
20	171	8010
21	172	7672
22	173	7363
23	174	7080
24	175	6825
25	175	6587
26	176	6363
27	177	6155
28	178	5960
29	178	5783
30	179	5616
31	180	5462
32	181	5323
33	182	5182
34	183	5048
35	183	4926
36	184	4811
37	185	4707
38	186	4603
39	187	4510
40	188	4420
41	189	4329
42	190	4244
43	191	4162
44	192	4080
45	193	4006
46	194	3935
47	194	3866
48	195	3799
49	196	3734
50	197	3679
51	198	3622
52	199	3565
53	200	3508
54	201	3454
55	201	3401
56	202	3350
57	203	3303
58	204	3256
59	204	3209
60	205	3165
61	206	3120
62	206	3077
63	207	3036
64	208	2999
65	209	2968
66	210	2931
67	211	2897
68	212	2867
69	213	2833
70	214	2801
71	214	2768
72	215	2736
73	216	2707
74	217	2677
75	217	2647
76	218	2618
77	219	2589
78	219	2562
79	220	2535
80	221	2509
81	221	2483
82	222	2454
83	222	2430
84	223	2408
85	224	2386
86	225	2364
87	226	2344
88	226	2322
89	227	2301
90	228	2282
91	229	2261
92	229	2241
93	230	2223
94	231	2204
95	232	2185
96	232	2167
97	233	2150
98	234	2132
99	235	2117
100	235	2100
101	236	2084
102	237	2068
103	238	2051
104	239	2037
105	239	2023
106	240	2009
107	241	1995
108	242	1981
109	243	1966
110	243	1953
111	244	1938
112	245	1924
113	245	1910
114	246	1898
115	247	1885
116	247	1871
117	248	1858
118	249	1845
119	249	1833
120	250	1821
121	251	1808
122	252	1797
123	252	1786
124	253	1775
125	254	1766
126	255	1754
127	256	1744
128	256	1733
129	257	1723
130	258	1712
131	258	1701
132	259	1691
133	260	1682
134	261	1672
135	261	1662
136	262	1654
137	263	1644
138	264	1636
139	264	1627
140	265	1618
141	266	1607
142	266	1598
143	267	1589
144	268	1581
145	268	1572
146	270	1566
147	270	1559
148	271	1552
149	272	1544
150	273	1537
151	274	1530
152	275	1522
153	275	1514
154	276	1506
155	277	1499
156	277	1492
157	278	1485
158	279	1478
159	280	1470
160	280	1462
161	281	1456
162	282	1448
163	282	1442
164	283	1435
165	284	1429
166	285	1424
167	286	1418
168	287	1412
169	288	1406
170	288	1399
171	289	1393
172	290	1387
173	291	1381
174	291	1375
175	292	1369
176	293	1363
177	293	1357
178	294	1352
179	295	1346
180	296	1340
181	297	1335
182	297	1329
183	298	1324
184	299	1318
185	300	1314
186	301	1308
187	301	1303
188	302	1298
189	303	1293
190	304	1288
191	304	1282
192	305	1277
193	306	1273
194	307	1268
195	308	1263
196	308	1258
197	309	1253
198	310	1248
199	311	1244
200	311	1239
201	312	1235
202	313	1230
203	314	1225
204	315	1222
205	316	1219
206	317	1216
207	318	1211
208	318	1207
209	319	1202
210	320	1198
211	321	1194
212	321	1189
213	322	1185
214	323	1180
215	324	1176
216	324	1172
217	325	1168
218	326	1163
219	327	1159
220	327	1155
221	328	1151
222	329	1147
223	329	1143
224	330	1139
225	331	1136
226	332	1132
227	333	1128
228	334	1124
229	334	1120
230	335	1116
231	336	1112
232	336	1109
233	337	1105
234	338	1101
235	339	1097
236	339	1093
237	340	1090
238	341	1086
239	342	1083
240	342	1079
241	343	1076
242	344	1072
243	345	1069
244	345	1066
245	347	1063
246	347	1060
247	348	1056
248	349	1053
249	349	1049
250	350	1046
251	351	1042
252	352	1039
253	352	1036
254	353	1032
255	354	1029
256	354	1026
257	355	1022
258	356	1019
259	356	1015
260	357	1012
261	358	1009
262	359	1006
263	359	1003
264	360	1000
265	361	997
266	362	995
267	363	991
268	363	988
269	364	985
270	365	982
271	365	979
272	366	976
273	367	973
274	367	970
275	368	967
276	369	965
277	370	962
278	371	959
279	371	956
280	372	953
281	373	950
282	373	947
283	374	944
284	375	941
285	376	939
286	377	937
287	378	934
288	378	931
289	379	929
290	380	927
291	381	924
292	382	922
293	382	919
294	383	916
295	384	914
296	385	912
297	386	909
298	387	907
299	387	904
300	388	901
301	389	899
302	389	896
303	390	894
304	391	891
305	392	889
306	393	887
307	393	884
308	394	882
309	395	880
310	396	877
311	396	875
312	397	872
313	398	870
314	399	868
315	400	866
316	400	863
317	401	861
318	402	859
319	403	856
320	403	854
321	404	851
322	405	849
323	406	847
324	407	845
325	407	843
326	408	841
327	409	838
328	410	836
329	411	834
330	411	832
331	412	830
332	413	827
333	414	825
334	414	823
335	415	821
336	416	819
337	417	816
338	417	814
339	418	812
340	419	810
341	420	808
342	420	805
343	421	804
344	422	802
345	423	799
346	423	797
347	424	795
348	425	793
349	426	791
350	426	789
351	427	787
352	428	785
353	429	783
354	429	781
355	430	778
356	431	776
357	431	774
358	432	772
359	433	770
360	434	768
361	434	766
362	435	764
363	436	762
364	437	761
365	438	759
366	439	757
367	440	755
368	440	753
369	441	751
370	442	749
371	443	748
372	444	746
373	445	744
374	445	742
375	446	741
376	447	739
377	447	737
378	448	735
379	449	733
380	450	731
381	450	729
382	451	727
383	452	726
384	453	724
385	454	722
386	455	720
387	455	718
388	456	716
389	457	715
390	458	713
391	458	711
392	459	709
393	460	707
394	461	706
395	461	704
396	462	702
397	463	700
398	463	698
399	464	696
400	465	694
401	465	692
402	466	691
403	467	689
404	468	687
405	468	686
406	469	684
407	470	682
408	471	680
409	472	679
410	472	677
411	473	675
412	474	674
413	475	672
414	475	670
415	476	669
416	477	667
417	478	665
418	478	664
419	479	662
420	480	660
421	481	658
422	481	657
423	482	655
424	483	654
425	484	652
426	485	650
427	485	649
428	486	647
429	487	645
430	488	644
431	488	642
432	489	640
433	490	639
434	490	637
435	491	636
436	492	634
437	493	632
438	493	631
439	494	629
440	495	627
441	496	626
442	496	624
443	497	623
444	498	622
445	499	620
